model,n_queries,P@1_mean,P@1_ci_low,P@1_ci_high,P@3_mean,P@3_ci_low,P@3_ci_high,P@5_mean,P@5_ci_low,P@5_ci_high,P@10_mean,P@10_ci_low,P@10_ci_high,Recall@1_mean,Recall@1_ci_low,Recall@1_ci_high,Recall@3_mean,Recall@3_ci_low,Recall@3_ci_high,Recall@5_mean,Recall@5_ci_low,Recall@5_ci_high,Recall@10_mean,Recall@10_ci_low,Recall@10_ci_high,NDCG@1_mean,NDCG@1_ci_low,NDCG@1_ci_high,NDCG@3_mean,NDCG@3_ci_low,NDCG@3_ci_high,NDCG@5_mean,NDCG@5_ci_low,NDCG@5_ci_high,NDCG@10_mean,NDCG@10_ci_low,NDCG@10_ci_high,MRR_mean,MRR_ci_low,MRR_ci_high,MAP_mean,MAP_ci_low,MAP_ci_high
bgem3,100,0.857142857,0.628571429,0.98,0.761904762,0.533333333,0.971428571,0.571428571,0.422857143,0.72,0.32,0.234285714,0.405714286,0.168789425,0.10053775,0.2388343,0.414985055,0.281153808,0.57162549,0.525058751,0.391805556,0.671395623,0.591778327,0.441997904,0.744511355,0.928571429,0.679404762,0.98,0.888587499,0.644992569,0.98,0.927234554,0.708040764,0.98,0.976637868,0.766613193,0.98,0.942460317,0.734002976,0.98,0.911624825,0.707374028,0.98
gte,100,0.857142857,0.628571429,0.98,0.685714286,0.495238095,0.876666667,0.457142857,0.32,0.594285714,0.28,0.217142857,0.337285714,0.168789425,0.101292465,0.243172396,0.36064643,0.266845977,0.461051849,0.398727238,0.305567439,0.502391363,0.56999708,0.440186624,0.705350546,0.928571429,0.680952381,0.98,0.956304455,0.740683572,0.98,0.959420537,0.751750176,0.98,0.98,0.889771697,0.98,0.97172619,0.773301091,0.98,0.972064437,0.777043249,0.98
jina4,100,0.857142857,0.628571429,0.98,0.666666667,0.495238095,0.857142857,0.48,0.331428571,0.617142857,0.262857143,0.182857143,0.348571429,0.195442864,0.123037518,0.275746427,0.434979042,0.299971724,0.595462843,0.493543599,0.358160053,0.637647255,0.518993335,0.367496839,0.668011183,0.98,0.804761905,0.98,0.98,0.930372074,0.98,0.98,0.94964042,0.98,0.98,0.98,0.98,0.972222222,0.763888889,0.98,0.98,0.783414588,0.98
mpnetbase2,100,0.171428571,0.0,0.342857143,0.057142857,0.0,0.133333333,0.034285714,0.0,0.068571429,0.034285714,0.005714286,0.074285714,0.022600151,0.0,0.049130763,0.022600151,0.0,0.047165533,0.022600151,0.0,0.048197279,0.036885865,0.006878307,0.074314059,0.526190476,0.247619048,0.804761905,0.526190476,0.216666667,0.804761905,0.504150359,0.203538813,0.804761905,0.502729239,0.19320543,0.804761905,0.188492063,0.029513889,0.416666667,0.201190476,0.01547619,0.433333333
nomicv2,100,0.98,0.98,0.98,0.98,0.914285714,0.98,0.662857143,0.571428571,0.742857143,0.36,0.297142857,0.434285714,0.286971243,0.220655561,0.350831504,0.835516904,0.624060567,0.98,0.849445475,0.629195166,0.98,0.881773517,0.669467498,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
qwen34b,100,0.971428571,0.8,0.98,0.838095238,0.647619048,0.98,0.651428571,0.491428571,0.788571429,0.365714286,0.28,0.451428571,0.210059266,0.140221316,0.279799045,0.485733354,0.375736833,0.617964389,0.625044321,0.484093366,0.77549373,0.698642204,0.555913695,0.852216193,0.97,0.89,1.0,0.97,0.89,1.0,0.97,0.89,1.0,0.97,0.89,1.0,0.98,0.922619048,0.98,0.98,0.925520408,0.98
