question_id,bgem3,gte,jina4,mpnetbase2,nomicv2,qwen34b
q1,0.9998784657555486,0.9837215892797313,0.9565885933122316,0.5119894763006204,1.0,1.0
q2,0.9523108479467236,0.9772432733613735,0.9847163125561708,0.5213458194080618,0.9813438131851436,0.9818371462993707
q3,0.9546682454233894,0.986712853740679,0.9618892781780946,0.5112263788934579,0.9909927901063263,0.9996644891130675
q4,1.0,1.0,1.0,0.5110014440418055,0.9420779441018383,0.9725834411140355
q5,0.9113142640204984,1.0,0.9779682963278796,0.47495963628613397,1.0,0.9837777738842507
q6,0.9601019566635434,0.9583227621670883,0.9447800338136055,0.47274543740135183,0.9906506510888821,0.9496720896471966
q7,0.9045180037346742,0.9963915338831111,1.0,0.5166169790524601,0.9515540062088323,0.9440601367404856
q8,1.0,1.0,1.0,0.5293701899211458,0.9528385965747913,0.9444614186062659
q9,1.0,1.0,0.9691573895680383,0.46407566648791104,0.9551073365005508,0.9630887735977561
q10,0.9955977321223153,0.9826505634070877,0.9279989746329356,0.5063001878874259,0.9968778713170942,0.9944937292646396
q11,0.9565204270825348,1.0,0.9739715730533876,0.4599571948565919,1.0,0.9238763500259201
q12,0.9766971342176273,0.9719461502456297,0.9916427855442979,0.506622713074614,0.9815127900589651,0.9678032802992209
q13,1.0,0.96495989864922,0.9689552343302903,0.48035986369424216,1.0,0.9557752215299897
q14,0.9643522389606508,1.0,1.0,0.550033380487505,0.9515265942208754,0.9766194795457984
q15,0.9711713074481685,1.0,0.9460838189082678,0.5008976194016601,0.9499691709273307,0.9958577144732034
q16,0.9894226243361217,0.9972626102033022,1.0,0.49641280949058375,0.9645645140787668,0.9562468331144117
q17,1.0,1.0,1.0,0.514869347649118,0.9705491339852097,0.9631428582834141
q18,0.9575425916760814,0.9722971089909734,1.0,0.5138810702939001,0.9989913109938303,0.9858795903062365
q19,0.9661358738270345,1.0,1.0,0.4363857024664484,0.9757356422827568,1.0
q20,0.9629555945956858,1.0,1.0,0.5470063527403541,0.9491866231212429,0.9347564330356576
q21,0.9615915074240896,1.0,0.9816138431601981,0.5136848434374757,0.9726647853748431,1.0
q22,0.9832999457526462,0.9988935776217609,1.0,0.5393765511905824,1.0,0.897853863086395
q23,1.0,0.962392075160159,1.0,0.46617959488231914,1.0,0.9922789384177451
q24,0.9637713083714667,1.0,0.9779686701222466,0.5487159704781704,0.9707778980910183,0.9335863839839441
q25,0.9353999664636204,0.9751740302587474,1.0,0.49687305176919516,0.9047746470437631,1.0
q26,0.9877425576618177,0.9933061186615633,0.9572346993540224,0.5041878653258967,1.0,1.0
q27,0.9449385564242612,0.9312460607209226,1.0,0.46597478889666855,0.911050764913421,0.9670558833221132
q28,0.9926793780892346,0.9332157373760479,0.9561657084770111,0.42448066388638345,1.0,0.901524622658211
q29,0.9759943468033007,0.9703368733106851,0.9601089833254648,0.5126527527792607,1.0,0.9520760618896414
q30,0.9784360700895719,0.9580863583206933,0.9636003990074358,0.4900634310872026,1.0,0.9637247225030724
q31,1.0,1.0,0.9939285918317258,0.527479790561025,0.9984458096166376,0.9555198946979551
q32,1.0,0.9884751352331943,0.9623209018278804,0.4669674698613452,0.9537379268094477,0.987037756818266
q33,0.9612548545251993,0.97854422602749,0.9960098236574574,0.47736611761684683,0.944596667201176,1.0
q34,0.9598692396356175,0.9965116511347055,1.0,0.4797674126301038,0.9750978062854827,0.9521086584899932
q35,0.9835401091549547,0.9452284011447476,0.9377148670975094,0.5144204590488557,0.985618560449598,0.9687803514033709
q36,0.9562283664074528,0.9541973101465631,0.9391672273692738,0.48195141948803893,0.9125722273449854,1.0
q37,0.976279483698803,1.0,0.9743712314341273,0.5468928047491409,0.9343690617672044,0.9738393320876094
q38,1.0,0.9494097463184521,0.9580919581731474,0.5037078090448723,1.0,0.9557501743833626
q39,0.9939068508909176,0.9760329351614179,1.0,0.434442861982835,0.9577489888044162,1.0
q40,0.9789578136850803,1.0,1.0,0.4734556924259379,1.0,0.9524864404589308
q41,0.9591117470116305,0.9764501810437687,0.9877394634728557,0.5126359196112772,0.9650469799222509,1.0
q42,0.9538642116107331,0.9374841716653278,0.954015544668012,0.41797073393736267,0.9437038261362322,0.9699946217865163
q43,0.9721403776529345,0.9675540039282639,0.9951626606867827,0.5518420342367586,0.9516330770294147,0.9821515453160815
q44,0.9645120782121626,0.9767283493501943,0.9644933669211041,0.5124281110408365,0.9470760606497772,0.9831840664809758
q45,0.9600646995014255,1.0,0.9885129441186499,0.5120641509530981,0.9596867155319363,0.9876754436655143
q46,0.985302197477789,0.9716109662123369,1.0,0.5253851082567876,0.9797580006822993,0.9674145363793251
q47,1.0,0.9933187574686438,1.0,0.5195422224401811,0.9485681990366677,0.949725271596208
q48,1.0,1.0,0.9580888567792817,0.5207631346309262,1.0,0.9603191008118948
q49,1.0,0.9321224986119977,1.0,0.4962701032375564,0.9840977377866095,0.9661246877966655
q50,0.9962581721651759,1.0,1.0,0.5266682989405949,0.9395667379969795,0.9610399388274795
q51,0.9804644803717564,0.9784294419772157,0.9297213692679875,0.5335306517458477,0.9950311378621566,0.9343407768832285
q52,0.9582422451937638,0.9627363123199455,0.9566331162526353,0.49448831170065566,0.9732074887091132,0.912057836636516
q53,0.9705366971874076,0.9866755311226673,0.971037522716943,0.48568767766615223,0.9794249185948973,0.9810621010495282
q54,0.9897840372289258,1.0,0.9436530295745293,0.5083714384080548,0.9602605650733196,0.9831055274792777
q55,0.9811525686870043,1.0,0.986671667897086,0.5120205335526204,0.9765394412711536,0.8786856328296401
q56,0.9777241027443433,0.9848861206284931,1.0,0.5341076625321444,0.9998171875004891,0.9812893749436545
q57,0.9842309773825741,0.9641821800865231,0.9662245571873118,0.46507897119698144,0.9756870383640591,0.92435646028284
q58,0.9877318779195122,0.975876221114002,0.9656343893624645,0.5323721839724703,1.0,0.9721489599828108
q59,0.9560189622222939,0.9853766572844896,0.9649323420025566,0.5174737983595813,0.9556994117883524,0.9412307444274047
q60,0.9920160858773213,0.9904373834928017,1.0,0.5092366001738355,1.0,0.9725931366754571
q61,0.9708073422979591,0.9699959299110015,1.0,0.5784400106438475,1.0,1.0
q62,1.0,1.0,1.0,0.48719917125921514,0.9657654037125472,1.0
q63,0.9549796677317836,0.8872789690465108,0.9672418589411528,0.5011923060101109,1.0,0.9692232722487115
q64,0.947185971319786,0.9660640086276094,1.0,0.5027479828371397,1.0,0.9331185979203773
q65,0.9773282405523358,1.0,0.9484886925846041,0.4679158434756298,0.9949860950041017,0.9593347401407154
q66,1.0,0.9608608483027544,0.9659836094919556,0.5338812493455122,1.0,0.9788067470685377
q67,0.9295195009012106,0.9534567896763199,1.0,0.483155724606976,0.9841675014575656,0.9882961586883211
q68,0.9559522304465483,0.9425432579568377,0.9148620471111111,0.4673419714185509,0.9814362031518478,0.956701652370986
q69,0.9712424546059495,1.0,1.0,0.5083741253544751,1.0,0.9933289277142334
q70,0.9471475961193072,0.9708332677094198,1.0,0.49257617805847953,1.0,0.9489118755755817
q71,0.9768548028774497,0.9620259377119253,0.9893383465177876,0.5432132111081607,1.0,0.958301292925177
q72,0.9820137764609271,0.9871551698704653,0.9625401747028913,0.49401691815573023,0.95869971499124,0.9278447176686596
q73,0.9896925542012801,1.0,0.9634634870999431,0.5213050578128849,1.0,0.954895725441746
q74,0.942028644663197,0.9928557547616149,0.9575988085639001,0.4567236510082032,0.9444354494118262,1.0
